Retailer,Retailer ID,Date,Region,State,Beverage Brand,Price per Unit,Units Sold,Revenue,Expenses
Sodapop,1185732,14-1-2022,Northeast,New York,Coca-Cola,$0.50,"12,000","$6,000","$1,260"
Sodapop,1185732,14-1-2022,Northeast,New York,Diet Coke,$0.50,"10,000","$5,000","$1,700"
Sodapop,1185732,14-1-2022,Northeast,New York,Sprite,$0.40,"10,000","$4,000",$480
Sodapop,1185732,14-1-2022,Northeast,New York,Fanta,$0.45,"8,500","$3,825",$497
Sodapop,1185732,14-1-2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$918
Sodapop,1185732,14-1-2022,Northeast,New York,Dasani Water,$0.50,"10,000","$5,000","$1,050"
Sodapop,1185732,12-2-2022,Northeast,New York,Coca-Cola,$0.50,"12,500","$6,250",$875
Sodapop,1185732,12-2-2022,Northeast,New York,Diet Coke,$0.50,"9,000","$4,500",$225
Sodapop,1185732,12-2-2022,Northeast,New York,Sprite,$0.40,"9,500","$3,800",$304
Sodapop,1185732,12-2-2022,Northeast,New York,Fanta,$0.45,"8,250","$3,713",$408
Sodapop,1185732,12-2-2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$810
Sodapop,1185732,12-2-2022,Northeast,New York,Dasani Water,$0.50,"10,000","$5,000","$1,700"
Sodapop,1185732,10-3-2022,Northeast,New York,Coca-Cola,$0.50,"12,200","$6,100","$2,074"
Sodapop,1185732,10-3-2022,Northeast,New York,Diet Coke,$0.50,"9,250","$4,625","$1,573"
Sodapop,1185732,10-3-2022,Northeast,New York,Sprite,$0.40,"9,500","$3,800","$1,862"
Sodapop,1185732,10-3-2022,Northeast,New York,Fanta,$0.45,"8,000","$3,600",$504
Sodapop,1185732,10-3-2022,Northeast,New York,Powerade,$0.60,"8,500","$5,100",$714
Sodapop,1185732,10-3-2022,Northeast,New York,Dasani Water,$0.50,"9,500","$4,750",$713
Sodapop,1185732,11-4-2022,Northeast,New York,Coca-Cola,$0.50,"12,000","$6,000","$1,440"
Sodapop,1185732,11-4-2022,Northeast,New York,Diet Coke,$0.50,"9,000","$4,500",$855
Sodapop,1185732,11-4-2022,Northeast,New York,Sprite,$0.40,"9,000","$3,600","$1,656"
Sodapop,1185732,11-4-2022,Northeast,New York,Fanta,$0.45,"8,250","$3,713",$483
Sodapop,1185732,11-4-2022,Northeast,New York,Powerade,$0.60,"8,250","$4,950","$1,040"
Sodapop,1185732,11-4-2022,Northeast,New York,Dasani Water,$0.50,"9,500","$4,750","$1,948"
Sodapop,1185732,10-5-2022,Northeast,New York,Coca-Cola,$0.60,"12,200","$7,320","$1,318"
Sodapop,1185732,10-5-2022,Northeast,New York,Diet Coke,$0.55,"9,250","$5,088",$407
Sodapop,1185732,10-5-2022,Northeast,New York,Sprite,$0.50,"9,000","$4,500","$1,710"
Sodapop,1185732,10-5-2022,Northeast,New York,Fanta,$0.50,"8,500","$4,250",$893
Sodapop,1185732,10-5-2022,Northeast,New York,Powerade,$0.60,"8,750","$5,250","$1,785"
Sodapop,1185732,10-5-2022,Northeast,New York,Dasani Water,$0.65,"10,000","$6,500",$780
Sodapop,1185732,12-6-2022,Northeast,New York,Coca-Cola,$0.60,"12,500","$7,500",$975
Sodapop,1185732,12-6-2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500",$935
Sodapop,1185732,12-6-2022,Northeast,New York,Sprite,$0.50,"9,250","$4,625",$971
Sodapop,1185732,12-6-2022,Northeast,New York,Fanta,$0.50,"9,000","$4,500",$630
Sodapop,1185732,12-6-2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$270
Sodapop,1185732,12-6-2022,Northeast,New York,Dasani Water,$0.65,"10,500","$6,825",$546
Sodapop,1185732,10-7-2022,Northeast,New York,Coca-Cola,$0.60,"12,750","$7,650",$842
Sodapop,1185732,10-7-2022,Northeast,New York,Diet Coke,$0.55,"10,250","$5,638",$846
Sodapop,1185732,10-7-2022,Northeast,New York,Sprite,$0.50,"9,500","$4,750","$1,615"
Sodapop,1185732,10-7-2022,Northeast,New York,Fanta,$0.50,"9,000","$4,500","$1,530"
Sodapop,1185732,10-7-2022,Northeast,New York,Powerade,$0.60,"9,250","$5,550","$1,887"
Sodapop,1185732,10-7-2022,Northeast,New York,Dasani Water,$0.65,"11,000","$7,150","$3,504"
Sodapop,1185732,11-8-2022,Northeast,New York,Coca-Cola,$0.60,"12,500","$7,500","$1,050"
Sodapop,1185732,11-8-2022,Northeast,New York,Diet Coke,$0.55,"10,250","$5,638",$789
Sodapop,1185732,11-8-2022,Northeast,New York,Sprite,$0.50,"9,500","$4,750",$713
Sodapop,1185732,11-8-2022,Northeast,New York,Fanta,$0.50,"9,250","$4,625","$1,110"
Sodapop,1185732,11-8-2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400","$1,026"
Sodapop,1185732,11-8-2022,Northeast,New York,Dasani Water,$0.65,"10,750","$6,988","$3,214"
Sodapop,1185732,10-9-2022,Northeast,New York,Coca-Cola,$0.60,"12,000","$7,200",$936
Sodapop,1185732,10-9-2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500","$1,155"
Sodapop,1185732,10-9-2022,Northeast,New York,Sprite,$0.50,"9,250","$4,625","$1,896"
Sodapop,1185732,10-9-2022,Northeast,New York,Fanta,$0.50,"9,000","$4,500",$810
Sodapop,1185732,10-9-2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$432
Sodapop,1185732,10-9-2022,Northeast,New York,Dasani Water,$0.65,"10,000","$6,500","$1,365"
Sodapop,1185732,12-10-2022,Northeast,New York,Coca-Cola,$0.65,"11,750","$7,638","$2,597"
Sodapop,1185732,12-10-2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500",$660
Sodapop,1185732,12-10-2022,Northeast,New York,Sprite,$0.55,"9,000","$4,950",$644
Sodapop,1185732,12-10-2022,Northeast,New York,Fanta,$0.55,"8,750","$4,813",$818
Sodapop,1185732,12-10-2022,Northeast,New York,Powerade,$0.65,"8,750","$5,688","$1,194"
Sodapop,1185732,12-10-2022,Northeast,New York,Dasani Water,$0.70,"10,000","$7,000",$980
Sodapop,1185732,11-11-2022,Northeast,New York,Coca-Cola,$0.65,"11,500","$7,475",$374
Sodapop,1185732,11-11-2022,Northeast,New York,Diet Coke,$0.55,"9,750","$5,363",$429
Sodapop,1185732,11-11-2022,Northeast,New York,Sprite,$0.55,"9,200","$5,060",$557
Sodapop,1185732,11-11-2022,Northeast,New York,Fanta,$0.55,"9,000","$4,950",$743
Sodapop,1185732,11-11-2022,Northeast,New York,Powerade,$0.65,"8,750","$5,688","$1,934"
Sodapop,1185732,11-11-2022,Northeast,New York,Dasani Water,$0.70,"9,750","$6,825","$2,321"
Sodapop,1185732,10-12-2022,Northeast,New York,Coca-Cola,$0.65,"12,000","$7,800","$2,652"
Sodapop,1185732,10-12-2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500","$2,695"
Sodapop,1185732,10-12-2022,Northeast,New York,Sprite,$0.55,"9,500","$5,225",$732
Sodapop,1185732,10-12-2022,Northeast,New York,Fanta,$0.55,"9,000","$4,950",$693
Sodapop,1185732,10-12-2022,Northeast,New York,Powerade,$0.65,"9,000","$5,850",$878
Sodapop,1185732,10-12-2022,Northeast,New York,Dasani Water,$0.70,"10,000","$7,000","$1,680"
BevCo,1197831,2-1-2022,South,Texas,Coca-Cola,$0.25,"9,000","$2,250",$428
BevCo,1197831,2-1-2022,South,Texas,Diet Coke,$0.35,"9,000","$3,150","$1,449"
BevCo,1197831,2-1-2022,South,Texas,Sprite,$0.35,"7,000","$2,450",$319
BevCo,1197831,2-1-2022,South,Texas,Fanta,$0.35,"7,000","$2,450",$515
BevCo,1197831,2-1-2022,South,Texas,Powerade,$0.40,"5,500","$2,200",$902
BevCo,1197831,2-1-2022,South,Texas,Dasani Water,$0.35,"7,000","$2,450",$441
BevCo,1197831,1-2-2022,South,Texas,Coca-Cola,$0.25,"8,500","$2,125",$170
BevCo,1197831,1-2-2022,South,Texas,Diet Coke,$0.35,"8,500","$2,975",$625
BevCo,1197831,1-2-2022,South,Texas,Sprite,$0.35,"6,750","$2,363",$803
BevCo,1197831,1-2-2022,South,Texas,Fanta,$0.35,"6,250","$2,188",$263
BevCo,1197831,1-2-2022,South,Texas,Powerade,$0.40,"5,000","$2,000",$260
BevCo,1197831,1-2-2022,South,Texas,Dasani Water,$0.35,"7,000","$2,450",$417
BevCo,1197831,3-3-2022,South,Texas,Coca-Cola,$0.30,"8,750","$2,625",$551
BevCo,1197831,3-3-2022,South,Texas,Diet Coke,$0.40,"8,750","$3,500",$490
